Date,Open,High,Low,Close,Volume
2019-01-02,36.78414211195393,37.72458662290483,36.62740075617171,37.50372314453125,148158800
2019-01-03,34.19316388930112,34.60638999543763,33.72294357800193,33.76806640625,365248800
2019-01-04,34.323789806748884,35.27848283128066,34.15042635194018,35.20960998535156,234428400
2019-01-07,35.314113428905806,35.34498772125398,34.649152921842216,35.131248474121094,219111200
2019-01-08,35.51835204691937,36.05507191717408,35.27136857362246,35.800960540771484,164101200
2019-01-09,35.929187021597,36.69864150293026,35.53496376531212,36.40890884399414,180396400
2019-01-10,36.2165556097032,36.56565974711911,35.82707935334201,36.52528762817383,143122800
2019-01-11,36.306810124740636,36.50154648837544,35.981452295064784,36.166690826416016,108092800
2019-01-14,35.824697423210985,35.924440921467415,35.43759480894233,35.622833251953125,129756800
2019-01-15,35.68695695839793,36.427910763494,35.634709844065036,36.3519172668457,114843600
2019-01-16,36.35430090299284,37.01926139590715,36.33530161762464,36.796024322509766,122278800
2019-01-17,36.62028408574662,37.44198597490383,36.397047009696955,37.01451110839844,119284800
2019-01-18,37.4039811406747,37.49422682619904,37.043002022319946,37.24249267578125,135004000
2019-01-22,37.14511631915699,37.221109811985436,36.24504404145378,36.40653610229492,121576000
2019-01-23,36.608400270150376,36.8435122960888,36.02656133084995,36.55377960205078,92522400
2019-01-24,36.59890123781676,36.68676973887957,36.03606159804956,36.26404571533203,101766000
2019-01-25,36.92425433639867,37.553593252863344,36.64877383724475,37.465721130371094,134142000
2019-01-28,36.99786810096469,37.126112312913,36.49202640019958,37.118988037109375,104768400
2019-01-29,37.1071338529194,37.55360804703565,36.59891469261955,36.73427963256836,166348800
2019-01-30,38.769512886359,39.45821947588497,38.05230556900505,39.244483947753906,244439200
2019-01-31,39.44873654918918,40.13506984718842,39.08063311282435,39.52710723876953,162958400
2019-02-01,39.65059867839811,40.13031699712782,39.405985168485806,39.546104431152344,130672400
2019-02-04,39.75746683302016,40.76678067534809,39.72659254412772,40.669410705566406,125982000
2019-02-05,41.051762882070676,41.578981228642604,40.93064652495009,41.36524200439453,144406400
2019-02-06,41.476860058781234,41.695350007409324,41.04938886264292,41.379493713378906,112958400
2019-02-07,40.94251782527925,41.30824769496477,40.45329804715444,40.59579086303711,126966800
2019-02-08,40.3048068425163,40.70310822980999,40.16885776650786,40.64348220825195,95280000
2019-02-11,40.79613874916217,40.83430028954994,40.36683051801173,40.409759521484375,83973600
2019-02-12,40.56955984328428,40.78421213565277,40.474155993899046,40.75797653198242,89134000
2019-02-13,40.877214588225634,41.1371831649396,40.52661329551529,40.588623046875,89960800
2019-02-14,40.47652361789425,40.84620198114671,40.39781684528093,40.73649215698242,87342800
2019-02-15,40.843836724374356,40.95116286674207,40.486080490292245,40.645877838134766,98507200
2019-02-19,40.4765339806188,40.88914507060669,40.42406278544301,40.76750564575195,75891200
2019-02-20,40.82952646483924,41.337541474435355,40.78182636217737,41.029869079589844,104457600
2019-02-21,40.97501351487574,41.1109589873407,40.617257291473365,40.798519134521484,68998800
2019-02-22,40.922542033388446,41.26121748586465,40.874841931781916,41.25406265258789,75652800
2019-02-25,41.53787203627776,41.94571198087244,41.48778457748155,41.5545654296875,87493600
2019-02-26,41.43054735944564,41.80976799171946,41.30175311196315,41.57841873168945,68280800
2019-02-27,41.311307838567444,41.73822869074752,41.19682321958781,41.70722198486328,111341600
2019-02-28,41.5760424809069,41.71675904686079,41.242134508972,41.29698944091797,112861600
2019-03-01,41.56649922650965,41.773996653747055,41.234978633444705,41.7310676574707,103544800
2019-03-04,41.90280220085392,42.394120255566705,41.49257469823671,41.94096374511719,109744800
2019-03-05,41.962415400636054,41.97672506553204,41.62850744949889,41.864627838134766,78949600
2019-03-06,41.659511495165575,41.855086607706475,41.48540451788479,41.62373733520508,83241600
2019-03-07,41.468717309443846,41.60466642807359,41.0274867951546,41.1419677734375,99185600
2019-03-08,40.622040116652585,41.27792671550732,40.42646491122793,41.23976516723633,95997600
2019-03-11,41.85508080489609,42.720848109464065,41.82169038046762,42.66837692260742,128044000
2019-03-12,42.93073415767286,43.567539610964324,42.78047542355031,43.14777374267578,129870400
2019-03-13,43.46737552238741,43.71780557424151,43.15016460861008,43.338584899902344,124130000
2019-03-14,43.8609111740343,43.908614914858006,43.54131649050845,43.82036590576172,94318000
2019-03-15,44.08749085728255,44.67898009371108,43.82275112158004,44.39038848876953,156171600
2019-03-18,44.3140683580027,44.93179318512388,44.31168098754593,44.84354782104492,104879200
2019-03-19,44.92226139953133,45.07490392114361,44.34269438014027,44.488182067871094,126585600
2019-03-20,44.41661922842223,45.19414495340022,44.05886306469387,44.87693405151367,124140800
2019-03-21,45.320555849510406,46.825516329115906,45.2704683808724,46.52976989746094,204136800
2019-03-22,46.58938884769909,47.14987492430253,45.50181076136391,45.56620788574219,169630800
2019-03-25,45.6759317859226,45.788029035736734,44.50487908991449,45.01527786254883,175381200
2019-03-26,45.71169595103682,46.00267123954299,44.023086513229856,44.55017852783203,199202000
2019-03-27,45.017659015210214,45.258546900327964,44.4929506048766,44.95087814331055,119393600
